,precision,recall,f1-score,support
0,0.9989259310615014,0.9987346897459257,0.9988303012496961,454434.0
1,0.932475884244373,0.7435897435897436,0.8273894436519258,390.0
2,0.9997263487099296,0.9996091154282141,0.9996677286320192,25583.0
3,0.9975926817525277,0.9990356798457087,0.9983136593591906,2074.0
4,0.9985811943763704,0.9992685969969454,0.9989247774289278,46486.0
5,0.9916434540389972,0.996268656716418,0.9939506747324337,1072.0
6,0.9982964224872232,0.9991474850809889,0.9987217724755006,1173.0
7,1.0,1.0,1.0,1612.0
8,1.0,1.0,1.0,2.0
9,0.8,0.8,0.8,5.0
10,0.9936535863520689,0.9973510769133739,0.9954988983317595,31711.0
11,1.0,0.9991474850809889,0.9995735607675906,1173.0
12,0.2911392405063291,0.2987012987012987,0.2948717948717949,308.0
13,1.0,0.2857142857142857,0.4444444444444444,7.0
14,0.14173228346456693,0.15126050420168066,0.14634146341463414,119.0
accuracy,0.997996993724267,0.997996993724267,0.997996993724267,0.997996993724267
macro avg,0.8762511351329259,0.8178552412010381,0.8331019012906612,566149.0
weighted avg,0.9980110418716002,0.997996993724267,0.9979939514298838,566149.0
